,Mkt-RF,SMB,HML,RF
199811,6.1,1.21,-3.16,0.31
199812,6.16,-0.54,-4.2,0.38
199901,3.5,0.81,-4.66,0.35
199902,-4.08,-6.08,1.91,0.35
199903,3.45,-3.76,-2.77,0.43
199904,4.33,3.98,2.34,0.37
199905,-2.46,3.33,2.36,0.34
199906,4.77,3.15,-3.4,0.4
199907,-3.49,2.55,-0.48,0.38
199908,-1.38,-1,-1.72,0.39
199909,-2.79,3.36,-3.42,0.39
199910,6.12,-6.75,-3.16,0.39
199911,3.37,7.17,-6.07,0.36
199912,7.72,7.07,-8.4,0.44
200001,-4.74,5.7,-1.75,0.41
200002,2.45,21.19,-8.94,0.43
200003,5.2,-16.82,7.66,0.47
200004,-6.4,-6.93,7.41,0.46
200005,-4.42,-6.33,5.01,0.5
200006,4.64,12.8,-8.22,0.4
200007,-2.51,-3.16,8.4,0.48
200008,7.03,-0.65,-1.47,0.5
200009,-5.45,-1.89,7.28,0.51
200010,-2.76,-3.87,5.71,0.56
200011,-10.72,-3.5,12.53,0.51
200012,1.19,0.73,7.67,0.5
200101,3.13,6.76,-5.33,0.54
200102,-10.05,-0.82,12.58,0.38
200103,-7.26,0.17,6.52,0.42
200104,7.94,0.61,-4.8,0.39
200105,0.72,2.53,3.34,0.32
200106,-1.94,6.25,-1.16,0.28
200107,-2.13,-4.23,5.35,0.3
200108,-6.46,2.48,2.33,0.31
200109,-9.25,-6.25,1.57,0.28
200110,2.46,7.57,-7.66,0.22
200111,7.54,-0.48,2.16,0.17
200112,1.61,4.79,0.9,0.15
200201,-1.44,1.18,3.38,0.14
200202,-2.29,-1.07,2.21,0.13
200203,4.24,4.14,1.08,0.13
200204,-5.2,5.84,3.96,0.15
200205,-1.38,-3.26,1.57,0.14
200206,-7.21,4.2,0.04,0.13
200207,-8.18,-5.22,-3.71,0.15
200208,0.5,-2.94,3.23,0.14
200209,-10.35,2.39,1.49,0.14
200210,7.84,-3.44,-4.07,0.14
200211,5.96,3.23,-1.51,0.12
200212,-5.76,-0.01,2.28,0.11
200301,-2.57,1.28,-0.86,0.1
200302,-1.88,-0.46,-1.33,0.09
200303,1.09,0.93,-2.15,0.1
200304,8.22,0.64,0.89,0.1
200305,6.05,4.49,0.11,0.09
200306,1.42,1.75,0.39,0.1
200307,2.35,5.23,-1.08,0.07
200308,2.34,2.7,1.61,0.07
200309,-1.24,0.71,0.05,0.08
200310,6.08,2.64,1.92,0.07
200311,1.35,1.99,1.8,0.07
200312,4.29,-2.76,1.58,0.08
200401,2.15,2.53,2.45,0.07
200402,1.4,-1.56,0.86,0.06
200403,-1.32,1.75,0.24,0.09
200404,-1.83,-1.73,-3.07,0.08
