,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
196406,10.6,11.01,10.88,10.93,10.69,35.84,37.68,41.52,39.22,44.77,67.91,81.16,82.78,86.68,81.44,197.91,200.39,212.25,214.59,210.99,1794.94,1725.01,875.28,927.62,897.17
196407,11.92,12.42,11.34,10.98,9.33,42.83,39.74,39.68,37.16,38.8,79.73,83.16,86.87,76.63,76.5,206.88,212.22,198.03,196.35,191.72,1830.94,1692.58,997.39,933.17,818.39
196408,12.01,12.89,11.8,11.25,9.76,42.91,40.46,41.13,38.27,39.7,81.91,85.41,89.44,78.98,77.36,209.08,218.27,200.96,199.78,199.07,1877.16,1703.7,1034.12,949.08,821.75
196409,12.16,12.61,11.58,11.13,9.74,42.02,39.31,40.51,38.23,38.97,79.46,84.91,89.35,78.6,75.77,206.42,217.92,202.24,198.76,198.27,1845.12,1669.21,1026.57,933.66,797.01
196410,12.73,13.06,12.26,11.39,10.09,43.36,40.34,41.34,38.88,40.7,80.67,87.03,92.1,80.71,78.32,212.19,224.5,210.42,206.27,206.93,1900.49,1687.26,1069.8,974.14,849.85
196411,12.99,13.02,12.58,11.56,10.41,42.73,40.78,42.32,39.27,41.21,83.17,89.98,93.76,81.55,80.37,214.24,226.98,212.88,212.64,213.34,1905.33,1703.17,1072.92,974.5,877.71
196412,12.96,12.94,12.64,11.6,10.45,42.24,40.79,42.02,38.88,40.32,84.29,90.25,93.47,81.53,80.38,215.05,229.87,210,209.75,204.35,1910.58,1687.9,1085.53,957.88,831.11
196501,12.75,12.71,12.25,11.22,10.14,42.78,40.58,41.79,37.79,39.73,84.2,90.43,92.9,79.86,79.39,216.66,229.35,206.14,207.05,200.22,1924.09,1707.01,1075.26,945.8,818.79
196502,13.85,13.47,13.07,11.96,10.96,46.09,42.69,44.34,39.87,42.12,88.52,96.06,97.53,84.59,84.83,228.18,238.75,216.3,217.59,214.89,2013.62,1728.6,1103.83,978.21,844.1
196503,14.05,13.55,13.48,12.27,11.24,47.56,44.36,45.87,40.99,43.58,91.77,100.02,101.9,87.01,87.39,231,246.28,224.12,223.51,218.07,2009.26,1716.99,1096.65,968.41,832.58
196504,14.25,13.85,13.62,12.57,11.6,48.47,43.51,46.35,41.38,43.76,91.29,99.53,101.36,87.84,87.61,228.85,244.72,222.29,223.8,222.06,1980.37,1685.84,1076.71,961.68,832.51
196505,14.77,14.48,14.21,13.1,12.12,48.48,45.5,48.16,43.32,45.96,93.78,102.59,105.17,91,93.43,234.13,252.1,232.08,233.52,227.59,2070.14,1715.89,1098.71,979.95,865.21
196506,14.71,14.07,14.09,12.97,11.95,48.92,45.07,47.48,43.02,44.81,93.13,102.51,103.69,89.46,92.52,230.93,251.51,228.79,231.71,219.6,2044.32,1722.2,1090.12,969.13,831.96
196507,12.89,13.22,12.94,12.14,10.26,42.79,44.03,41.79,39.76,38.76,87.46,88.41,92.9,84.9,75.72,211.09,230.46,211.78,203.93,201.3,1938.46,1788.94,941.45,814.13,910.13
196508,13.2,13.67,13.39,12.38,10.7,44.36,44.66,42.99,41.09,40.45,88.74,92.25,95.09,88.52,79.24,217.46,237.47,220.23,208.94,212.2,1966.79,1787.17,957.81,843.87,955.53
196509,13.59,14.39,14.04,12.78,11.08,47.52,46.34,44.82,42.93,41.91,95.67,96.05,102.17,90.91,83.99,225.42,246.46,230.85,214.33,221.22,2022.26,1801,985.25,849.21,972.01
196510,14.03,15.2,14.08,13.24,11.48,50.2,47.86,46.02,44.79,43,97.78,96.88,105.28,95.36,87.51,232.7,255.49,233,220.38,228.91,2099.94,1839.84,1007.12,880.44,1001.48
196511,14.9,16.52,14.93,13.97,12.5,52.19,50.92,47.23,47.35,45.23,101.99,101.66,111.03,99.59,91.85,242.18,263.72,239.04,230.76,245.33,2164.6,1843.71,1035.98,916.04,1053.63
196512,15.44,17.59,15.28,14.91,13.32,52.86,53.68,48.9,49.66,46.9,105.17,104.29,116.72,101.6,94.17,250.66,269.76,245.95,232.17,259.54,2142.26,1797.15,1042.71,900.49,1023.91
196601,16.51,18.75,15.55,15.5,13.94,54.35,55.91,50.55,50.91,50.19,107.69,104.48,121.35,102.99,98.86,253.53,272.35,249.74,241.3,271.43,2162.18,1790.88,1064.1,922.83,1052.15
196602,17.41,19.97,16.8,16.98,15.14,56.82,59.13,53.01,53.55,53.44,112.39,106.87,124.69,107.64,101.56,255.77,276.9,261.45,252.03,286.06,2152.72,1778.53,1081.64,948.31,1086.12
196603,18.59,21.1,17.06,17.73,16.05,59.74,61.85,53.72,53.41,55.25,111.73,108.2,130.08,109.12,105.06,259.03,273.57,261.92,252.57,295.61,2115.35,1726.91,1056.95,925.08,1059.3
196604,18.86,20.74,16.62,17.58,15.83,60.3,60.4,52.44,51.24,53.56,109.63,102.87,126.46,105.17,100.76,258.6,269.33,252.03,245.64,281.98,2081.97,1664.31,1043.78,903.11,1009.11
196605,20.9,21.67,17.51,18.64,16.4,61.82,63.47,54.54,55.01,58.02,113.59,105.85,130.83,109.55,103.25,268.76,276.03,260.07,257.98,282.03,2124.56,1694.07,1054.19,925,1026.54
196606,18.28,18.79,15.62,16.57,14.46,55.78,56.85,49.66,49.24,51.97,106.55,98.38,119.95,97.78,92.67,254.88,260.57,241.82,233.84,251.14,2024.72,1616.98,997.16,870.79,965.68
196607,16.01,16.66,14.58,15.86,13.26,51.48,50.24,48.09,50.52,49.73,100.91,99.78,104.22,103.74,98.85,251.41,261.79,232.62,238.55,235.43,2021.71,966.26,2037.64,1064.24,908.97
196608,15.66,16.35,14.19,15.68,13.12,49.8,49.03,47.65,49.47,48.97,99.75,97.5,103.24,102.88,97.37,249.6,257.06,227.22,231.86,229.66,1985.98,951.74,2024.31,1071.87,894.22
196609,13.74,14.62,12.74,13.91,11.7,43.38,43.32,42.82,44.54,43.36,88.93,88.94,94.44,91.96,88.34,225.5,236.65,208.04,213.98,207.51,1833.83,864.43,1919.89,998.33,816.58
196610,13.45,14.27,12.49,13.44,11.56,42.47,43.59,41.98,43.43,42.01,86.73,84.73,94.04,91.55,86.91,222.58,236.17,205.5,206.45,205.42,1808.91,868.67,1929.07,999.37,801.96
196611,12.37,13.37,11.91,12.94,11.36,39.73,43.18,41.64,43.38,41.84,85,85.43,97.22,95.83,88.3,223.62,246.88,213.53,211.82,208.24,1863.86,913.71,2105.47,1060.08,851.46
196612,13.35,13.87,12.39,13.2,11.57,42.72,44.29,44.37,43.96,42.67,92.8,90.25,98.17,99.43,87.97,241.59,249.86,214.05,217.14,208.61,1916.84,927.46,2032.99,1036.69,834.87
196701,13.86,14.21,12.61,13.32,11.55,44.66,45.69,44.85,44.59,43.01,95.48,92.28,98.83,102.05,87.33,248.59,255.35,216.13,224.42,211.89,1898.89,924.83,2061.68,1033.47,832.62
196702,16.76,16.91,14.99,16.15,13.53,52.18,53.16,52.36,52.55,51.68,111.55,105.46,110.65,115.43,99.73,272.54,271.93,236.96,251.31,240.26,2043.57,988.61,2160.19,1112.36,944.74
196703,17.91,17.86,15.82,16.78,14.29,53.81,54.49,52.64,53.4,52.35,113.57,107.66,111.96,115.96,99.94,279.47,270.03,234.97,253.02,239.47,2080.73,994.48,2124.75,1095.08,927.07
196704,19.2,18.9,16.59,17.98,14.97,57.41,57.71,56.3,56.43,55.37,119.71,113.15,115.16,124.83,103.71,295.8,279.89,246.49,265.61,254.42,2166.57,1021.63,2191.1,1144.31,973.52
196705,20.46,19.58,17.15,18.76,15.51,58.51,59.86,59.22,58.37,57.22,127.21,116.2,117.29,131.54,106.67,317.42,287.3,254.5,275.52,261.16,2312.15,1052.29,2191.44,1183.91,988
