,Agric,Mines,Oil  ,Stone,Cnstr,Food ,Smoke,Txtls,Apprl,Wood ,Chair,Paper,Print,Chems,Ptrlm,Rubbr,Lethr,Glass,Metal,MtlPr,Machn,Elctr,Cars ,Instr,Manuf,Trans,Phone,TV   ,Utils,Garbg,Steam,Water,Whlsl,Rtail,Money,Srvc 
192607,2.37,2.64,-2.69,9.64,-8.21,0.03,1.29,0.39,1.28,-99.99,-14.51,-3.76,10.97,7.15,-1.33,0.51,9.49,5.11,4.07,5.62,5.12,3.14,13.56,1.78,6.08,1.93,0.83,-2.13,7.04,-99.99,-99.99,-99.99,-23.79,0.14,0.37,3.79
192608,2.23,0.67,3.78,0.77,7.37,3.07,6.5,7.97,1.54,-99.99,-3.97,18.24,10.01,5.04,3.68,8.36,-3.28,4.14,2.17,-0.87,2.34,1.67,3.51,4.68,8.27,4.88,2.17,6.52,-1.69,-99.99,-99.99,-99.99,5.39,-0.72,4.46,-0.2
192609,-0.57,-0.22,-5.92,7.47,-11.76,1.63,1.26,2.3,-2.42,-99.99,1.88,-10.42,-0.99,4.68,-3.61,-7.79,-0.14,3.17,0.15,-2.96,1.07,-0.65,4.98,-0.86,-2.33,0.05,2.42,-2.55,2.04,-99.99,-99.99,-99.99,-7.87,0.22,-1.23,5.56
192610,-0.46,-0.34,-1.98,-2.78,-8.59,-3.67,1.06,1,-0.68,-99.99,-3,-2.75,9.47,-4.25,-1.01,-1.21,0.28,-4.9,-3.85,-4.86,0.43,-5.89,-7.73,0.05,-7.71,-2.64,-0.12,5.13,-2.63,-99.99,-99.99,-99.99,-15.38,-2.28,-5.16,-4.47
192611,6.75,1.58,0.91,17.23,2.25,6.28,4.55,3.1,4.48,-99.99,8.11,3.61,-5.8,5.18,0.03,-7.72,1.37,4.87,3.86,2.26,3.2,4.37,1.4,3.87,3.5,1.6,1.63,-1.02,3.71,-99.99,-99.99,-99.99,4.67,6.43,2.24,2.22
192612,-3.27,2.28,3.45,-0.82,0.76,0.09,2.55,6.39,0.02,-99.99,-1.43,-3.08,0.53,4.69,2.93,4.5,0.71,1.54,3.75,0.1,4.9,-1.98,8.94,6.92,-1.67,3.59,1.99,2.06,-0.17,-99.99,-99.99,-99.99,9.65,0.61,2.68,2.98
192701,-3.66,-1.16,6.16,9.89,-3.55,-0.15,-0.35,-1.49,2.27,-99.99,4.04,0.98,9.67,0.79,1.52,4.78,-1.72,-1.15,-0.39,-2.78,1.11,-0.62,-0.99,-1.44,-3.18,1.44,1.89,0,-1.79,-99.99,-99.99,-99.99,-17.93,-2.53,-2.38,1.92
192702,7.65,4.88,9.22,7.25,8.01,3.85,1.49,7.66,4.03,-99.99,12.01,2.58,1.41,8.58,0.84,9.85,2.51,2.52,3.67,5.46,7.66,4.03,8.51,4.14,-0.8,5.18,3.97,7.07,4.53,-99.99,-99.99,-99.99,3.49,3.61,2.97,3.83
192703,-0.6,3.51,-13.35,9.75,5.04,2.38,5.51,-5.38,-2.02,-99.99,-2.84,-2.76,-0.28,5.44,-6.77,-2.16,1.5,3.39,1.48,-3.23,-0.75,0.32,1.04,3.24,0.49,1.06,5.57,-5.66,0.37,-99.99,-99.99,-99.99,-20.47,-0.39,1.36,-0.27
192704,5.39,1.31,-2.49,4.99,-8.67,2.12,4.01,0.46,0.11,-99.99,2.63,-1.72,-0.96,2.88,-5.9,-1.12,7.13,-2.15,-0.34,2.79,2.39,6.08,2.35,2,3.97,0.74,-2.14,7.4,1.71,-99.99,-99.99,-99.99,-10.75,4.47,2.89,-2.48
192705,4.12,1.41,11.44,1.73,-10.44,6.71,11.8,13.21,2.48,-99.99,25.64,5.84,3.13,4.09,4.76,-2.08,3.54,11.57,3.22,5.81,8.11,7.9,6.88,5,0.52,6.92,3.35,0,9.21,-99.99,-99.99,-99.99,-4.01,2.35,10.25,4.55
192706,-3.4,-5.2,-0.87,6.24,-13.78,-1.71,-2.3,2.29,-3.18,-99.99,0.51,0.68,12.54,-1.6,-3.23,-12.83,1.96,-5.3,-3.42,0.55,-2.22,2.97,-3.13,4.82,-3.86,-1.97,-2.13,-4.76,-3.57,-99.99,-99.99,-99.99,-4.18,-0.62,-0.03,-7.76
192707,6.05,6.14,2.39,5.76,-0.8,4.82,4.39,4.35,15.43,6.56,15.44,13.95,1.78,16.28,2.93,13.47,4.2,3.14,10.33,10.12,8.28,13.79,13.38,8.28,6.35,6.02,3.72,13,5.31,-99.99,-99.99,-99.99,11.11,9.87,6.59,1.27
192708,1.99,1.9,-11.47,0.26,-2.11,2.28,3.83,0.49,-1.58,-1.49,-3.21,3.46,5.46,2.01,0.11,4.73,2.22,-4.43,3.97,2.18,2.46,6.83,6.75,-1.07,5.83,-1.69,0.43,-1.77,3.43,-99.99,-99.99,-99.99,-2.58,7.38,1.7,6.61
192709,7.33,2.84,11.96,11.4,-0.97,5.79,4.63,1.89,0.2,7.69,3.28,10.9,10.04,5.68,3.25,14.81,5.55,3.16,3.77,3.3,5.23,0.2,5.53,4.46,1.41,4.31,6.53,4.5,8.29,-99.99,-99.99,-99.99,5.6,7.54,6.17,3.99
192710,-5.8,-4.53,-7.26,-2.22,-0.12,-1.73,-0.32,-2.39,4.56,-4.29,-7.81,2.67,2.63,-5.67,-1.56,-10.48,10.64,-1.25,-7.82,-4.01,-4.14,-8.06,-4.76,-5.81,-3.34,-4.59,-2.1,2.07,-4.34,-99.99,-99.99,-99.99,-21.78,-4.91,4.1,1.74
192711,6.51,8.82,10.38,5.12,-1.3,7.37,6.69,5.11,2.14,3.92,1.3,20.39,16.62,8.46,3.67,12.38,1.99,5.93,12.44,10.59,10.46,10.83,6.84,9.51,7.96,3.91,2.82,6.9,6.32,-99.99,-99.99,-99.99,-1.3,11.75,8,3.87
192712,-0.82,6.93,4.15,7.63,7.64,4.58,1.03,2.41,-2.52,0.36,17.93,-6.37,3.27,-0.09,1.19,5.02,1.88,-0.94,5.84,1.94,4.52,1.63,6.84,-3.13,-0.12,0.09,1.33,4.84,2.24,-99.99,-99.99,-99.99,11.45,-0.69,11.08,0.71
192801,-1.89,-2.4,0.08,-2.34,8.29,3.35,-2.56,-1.1,6.89,7.44,-1.36,-1.01,5.16,-0.13,-1.75,3.29,7.21,3.69,-2.42,1.04,-0.25,-1.01,-2.04,0.31,-3.76,-1.23,0.3,-4.92,5.87,-99.99,-99.99,-99.99,-0.95,-0.88,1.45,-0.03
192802,0.43,-3.91,-3.25,-10.76,3.03,-3.62,-5.97,-4.77,-0.75,2.2,-5.82,-0.39,-1.75,0.75,-0.02,-14.51,-3.84,0.63,-2.72,1.58,-1.5,-1.48,0.42,0.87,-2.77,-1.35,-0.31,6.56,-0.68,-99.99,-99.99,-99.99,-8.29,-1.09,-2.79,-0.33
192803,1.71,6.15,6.63,8.3,3.77,5.95,2.34,7.63,1.37,4.22,19.02,6.28,5.26,12.49,5.29,6.66,6.18,6.5,6.16,10.09,5.25,25.51,24.6,5.39,12.29,5.78,1.96,0,6.62,-99.99,-99.99,-99.99,8.12,8.5,9.57,3.91
192804,-0.28,1.12,12.16,-2.55,2.68,3.27,-5.95,-4.04,6.68,-3.16,-3.96,0.56,21.23,0.11,16.38,-2.84,12.6,3.67,1.43,1.23,3.17,2.74,1.37,2,7.12,4.37,3.22,4.31,10.94,-99.99,-99.99,-99.99,-5.85,-0.01,8.87,5.38
192805,-0.78,2.76,0.11,-5.83,19.82,2.1,-0.03,-6.11,0.74,1.59,-2.46,0.24,17.68,3.28,-5.9,-3.05,-2.3,-1.14,5.52,2.9,3.87,1.53,4.95,5.73,1.13,-0.46,6.59,21.64,1.51,-99.99,-99.99,-99.99,7.95,3.8,2.28,0.86
192806,-2.13,-4.61,-7.87,-3.8,-4.86,-4.24,-4.3,-10.61,-9.66,1.33,-8.91,-5.59,-10.78,-2.8,-3.77,-22.75,-5.16,-7.09,-5.84,-4.28,-3.07,-6.07,-3.91,-3.1,-11.97,-3.84,-5.21,-12.88,-3.43,-99.99,-99.99,-99.99,-7.41,-3.38,-9.91,-4.52
192807,-0.29,-1.55,-0.4,0.28,-2.71,1.26,3.35,-3.7,-1.25,3.29,1.07,-2.96,1.13,2.2,1.23,7.48,1.87,1.08,2.74,4.05,1.59,-1.22,0.73,4.02,1,-0.35,-1.28,2.54,-1.24,-99.99,-99.99,-99.99,0.35,5.5,0.29,-0.39
192808,1.68,5.94,2.09,7.12,-0.32,8.86,3.79,1.91,0.58,3.18,9.62,-2.09,6.48,9.82,2.46,14.02,-0.11,7.53,9.63,8.53,7.16,12.26,8.54,2.4,10.52,4.02,4.56,0.69,6.46,-99.99,-99.99,-99.99,4.06,13.64,5.23,11.2
192809,-0.9,3.24,8.51,-3.67,-0.22,2.08,-0.39,3.57,-2.45,0.78,-1.49,2.42,-2.36,3.57,5.66,6.06,-0.18,9.31,5.58,1.43,4.81,0.57,7.17,-0.79,-0.24,0.28,0.14,1.38,3.76,-99.99,-99.99,-99.99,1.05,0.16,1.8,8.08
192810,4.73,3.75,-0.89,-5.36,1.92,-1.09,3.44,5.96,-0.71,1.71,27.36,-16.9,5.62,4.54,2.36,3.24,-5.57,5.4,6.51,3.22,1.91,1.95,-0.29,0.72,-5.59,-1.3,2.97,0.75,-1.89,-99.99,-99.99,-99.99,18.25,5.84,2.6,0.76
192811,1.64,13.27,10.92,9.79,0.71,7.31,6.79,9.09,7.03,3.05,16.08,6.5,1.01,12.1,18.07,16.84,-0.77,11.59,14.9,7.47,14.7,23.12,4.95,5.2,4.18,9.35,6.66,18.09,21.93,-99.99,-99.99,-99.99,11.95,15.34,10,11.99
192812,-1.28,0.71,-14.72,3.88,1.97,0.73,-1.92,-5.87,-4.08,4.79,-0.69,-0.41,-0.49,1.72,-4.25,21.59,2.57,4.32,3.84,0.43,6.64,6.63,-0.64,-0.97,-10.67,0.25,-0.37,-4.05,1.57,-99.99,-99.99,-99.99,-3.85,-1.29,1.17,-1.58
192901,11.79,8.35,-8.91,-0.49,0.87,2.49,3.79,-1.22,-0.56,1.91,19.4,13.62,1.52,19.88,-8.07,-0.1,-2.86,10.81,7.78,5.89,9.83,12.37,1,2.98,1.53,4.75,13.4,-2.41,13.17,-99.99,-99.99,-99.99,-4.95,-3.86,8.26,8.6
192902,6.42,8.7,-3.17,-3.67,9.1,-2.92,-4.64,2.35,-3.82,-1.56,-11.73,1.06,-1.49,-0.59,-0.08,2.43,-4.27,-2.87,8.83,-0.15,1.3,-1.2,0.4,1.46,-5.76,-1.46,-1.15,-3.75,-1.99,-99.99,-99.99,-99.99,-3.19,-2.42,0.83,3.33
192903,-10.99,0.69,9.32,6.3,-0.19,-3.63,-4.19,-7.27,-4.45,-4.5,-12.57,-1.05,-7.05,-3.46,12.14,3.18,-5.98,-11.23,-0.07,-1.68,-1.55,5.14,-1.28,-1.96,-7.34,-2.83,4.27,27.27,-3.17,-99.99,-99.99,-99.99,-9.57,-5.09,-1.19,-8.41
192904,-6.44,-6.56,-1.61,2.62,17.63,5.42,-2.41,2.74,7.62,-3.03,1.74,-9.06,1.73,3.42,0.95,-7.75,0.49,2.62,1.15,6.94,4.95,1.05,-0.8,1.42,-9.06,1.3,3.4,-7.14,5.13,-99.99,-99.99,-99.99,3.58,3.76,0.45,1.53
192905,-6.68,-9.04,-13.96,-12.43,-6.38,-5.03,-0.21,-13.86,-6.59,-0.69,-9.37,-15.7,0.31,-7.2,-5.39,-13.4,-6.49,-10.11,-12.41,-6.09,-7.02,0.62,-14.26,-4.47,-13.46,2.52,-8.76,-12.22,4.8,-99.99,-99.99,-99.99,-6.54,-8.66,-3.12,-6.93
192906,-2.06,2.69,0.02,0.76,3.49,9.55,-0.13,2.5,3.48,0,25.01,10.99,10.64,18.14,1.11,10.94,7.42,6.53,10.71,10.35,14.65,19.05,7.22,6.92,6.1,5.97,13.73,-3.8,23.47,-99.99,-99.99,-99.99,-2.97,9.54,6.34,8.63
192907,3.02,2.87,2.35,0.42,-2.57,4.99,2.05,-3.68,-8.25,-6.4,15.14,9.66,0.94,4.72,-0.93,-6.61,0.96,-1.42,3.47,6.57,5.52,10.16,-2,3.9,0.47,8.32,13.68,8.55,9.14,-99.99,-99.99,-99.99,-3.01,1,8.43,-1.55
192908,1.3,8.43,6.82,5.15,0.49,4.6,8.29,0.26,0.3,-2.71,24.92,6.09,1.5,10.52,11.85,-5.62,1.68,2.96,11.82,6.11,9.63,13.02,2.54,8.07,-2.36,8.37,11,-1.84,9.05,-99.99,-99.99,-99.99,-5.79,8.05,6.13,4.4
192909,1.23,-3.47,2.36,-8.27,-1.44,-2.63,-7.62,-3.25,-5.42,-5.57,17.33,-2.4,-1.71,-6.34,-3.12,-5.03,-2.75,0.06,-8.96,-4.61,0.22,-11.41,-9.26,-0.64,-0.2,-7.75,-1.37,-0.62,1.32,-99.99,-99.99,-99.99,-0.66,-5.45,-5.93,6.91
192910,-0.67,-11.63,-20.32,-9.64,-8.37,-16.29,2.32,-21.32,-9.23,-12.43,-46.16,0.71,-12.22,-24.39,-10.05,-24.64,-9.44,-22.5,-15.5,-17.36,-23.9,-30.01,-27.04,-8.99,-26.11,-7.98,-15.39,-10.44,-30.04,-99.99,-99.99,-99.99,-23.2,-24,-29.4,-16.28
192911,-7.36,-13.07,-4.91,-6.65,-2.01,-9.84,-6.2,-15.81,-6.36,-6.6,-11.58,-9.18,-3.36,-15.51,-6.55,-18.28,-14.16,-11.27,-13.83,-13.09,-18.15,-18.21,-16.02,-13.67,-20.17,-7.84,-9.47,-11.43,-14.64,-99.99,-99.99,-99.99,-6.67,-12.65,-14.02,-15.42
192912,-4.88,-3.3,-1.71,0.06,9.96,0.51,2.72,-6.26,8.67,3.25,14.56,-15.25,0.21,5.45,-0.89,-8.39,-1.75,2.71,-0.45,0.32,4.52,12.41,4.6,0.5,-6.97,-0.1,1.01,4.84,7.94,-99.99,-99.99,-99.99,-0.81,-6.07,0.16,-7.11
193001,-0.86,3.22,-0.54,11.64,0.3,5.4,8.56,10.5,5.05,6.75,-4.04,7.7,2.1,8,-0.83,16.31,2.01,9.52,5.69,7.05,8.7,11.16,4.9,8.36,16.28,3.89,1.2,0.23,7.25,-99.99,-99.99,-99.99,3.11,4.74,9.68,9.18
193002,-9.43,0.3,0.12,2.04,7.36,0.93,5.52,5.7,-1.34,16.93,-25.29,1.69,6.92,2.04,-5.14,6.84,0.96,-0.25,0.09,4.11,4.56,7.84,4,10.1,3.1,2.13,7.06,8.24,8.57,-99.99,-99.99,-99.99,-4.62,-5.13,6.13,22.32
193003,-0.32,0.77,23.66,5.6,2.16,0.93,4.3,-2.56,6.48,6.35,-22.34,3.89,2.47,9.68,18.98,19.28,8.29,6.38,5.54,4.28,3.89,9.32,10.69,8.12,11.8,3.89,8.79,15.94,9.72,-99.99,-99.99,-99.99,-4.91,-2.4,8.64,14.32
193004,3.92,-13.82,-0.37,-2.99,8.16,2.89,-2.88,-9.88,-3.38,9.12,-3.93,-2.73,0.95,-4.49,7.57,-16.32,1.58,-7.66,-13.38,-4.75,2.9,2.73,-7.61,0.72,-9.44,-7.12,-4.54,15.5,3.34,-99.99,-99.99,-99.99,4.67,2.55,-4.02,5.19
193005,-3.09,4.12,-3.27,-1.19,1.43,2.26,1.86,-5.77,-3.42,-3.54,-18.9,-4.09,-0.87,-2.27,-3.83,5.88,-5.09,-2.09,0.19,-0.18,-4.6,-4.89,2.59,-3.78,-7.37,-0.43,0.42,-12.09,-1.33,-99.99,-99.99,-99.99,-8.21,-0.01,-5.6,-5.35
193006,-4.76,-8.26,-7.06,-12.55,-4.14,-12.41,-8.86,-18.26,-17.18,-11.53,-33.88,-14.26,-11.97,-17.5,-15.85,-30.26,-6.85,-17.75,-13.23,-19.1,-17.8,-20.22,-21.14,-16.83,-18.93,-9.87,-8.34,-15,-19.06,-99.99,-99.99,-99.99,-24.1,-16.02,-21.51,-20.71
193007,1.17,0.57,1.56,10.73,4.26,3.39,2.93,5.4,8.14,8.35,3.38,0.77,3.65,5.66,5.59,2.45,2.21,4.83,3.41,9.97,3.14,3.93,10.86,5.53,3.13,3.27,1.27,9.41,4.06,-99.99,-99.99,-99.99,-1.26,2.78,4.42,2.36
193008,1.24,-11.23,-6.77,1.57,-3.24,1.77,4.62,-1.45,-7.23,10.09,3.74,-8.4,-2.18,4.24,-3.39,-8.23,-1.94,0.86,-2.46,-2.97,1.51,1.4,-1.34,4.22,3.85,0.34,1.74,0.68,1.18,-99.99,-99.99,-99.99,-7.71,5.25,1.27,3.89
193009,-11.55,-8.48,-9.57,-7.22,-11.2,-9.93,-8.78,-13.01,-13.62,-20.53,-29.79,-20.27,-3.78,-12.89,-16.07,-17.27,-1.26,-13.34,-11.84,-15.33,-15.34,-20.16,-16.7,-10.68,-11.79,-8.41,-5.27,-2.04,-11.92,-99.99,-99.99,-99.99,-9.65,-10.94,-18.13,-17.01
193010,-16.08,-12.09,-7.82,-5.85,-21.42,-3.87,-4.74,-3.71,-17.33,1.24,-19.41,-8.16,-6.78,-10.29,-8.2,-6.91,-2.98,-11.02,-8.95,-9.25,-11.57,-18.51,-11.56,-10.14,-13.72,-6.72,-4.13,4.72,-8.28,-99.99,-99.99,-99.99,-6,-8.66,-15.43,-7.67
193011,2.7,-0.16,-4.33,1.42,-6.86,0.95,-0.93,-4.35,6.37,1.11,15.76,-10.96,-2.98,-0.54,-3.38,13.48,0.75,-1.3,-1.3,-0.46,-1.49,-3.52,5,-1.98,-4.04,-5.4,-3.27,-6.76,-8.74,-99.99,-99.99,-99.99,2.75,2.74,-8.45,-6.41
193012,-22.1,-7.83,-9.12,-10.79,-12.19,-3.56,-3.11,-6.14,-7.5,3.54,-14.6,-16.33,-5.02,-4.97,-12.57,-13.6,-7.46,-11.26,-8.76,-9.38,-7.3,-12.11,-3.69,-10.81,-13.23,-7.9,-3.81,2.9,-3.69,-99.99,-99.99,-99.99,-3.94,-13.63,-12.53,-13.05
193101,15.81,9.37,3.38,7.39,-3.02,4.91,6.43,13.33,2.18,1.5,11.73,9.86,1.78,1.66,4.88,-1.67,-0.61,8.2,3.01,4.97,5.87,5.22,8.37,5.77,11.13,11.52,4.79,5.49,5.53,-99.99,-99.99,-99.99,4.87,7.22,18.42,14.98
193102,13.17,9.24,2.23,12.35,14.61,6.76,6.94,15.44,25.62,32.39,30.71,5.67,2.1,11.53,6.22,18.66,-0.86,10.71,14.35,14.33,12.47,24.97,16.14,11.97,12.98,2.29,5.94,7.82,15.27,-99.99,-99.99,-99.99,-2.05,15.15,17.32,7.37
193103,-10.26,-8.86,-3.41,-6.36,0.38,-2.34,0.22,-3.1,-5.71,-10.54,-25.02,-5.5,-1.61,-5.66,-14.58,-7.25,2.79,-7.47,-7.34,-3.3,-8.08,-7.95,-4.65,-5.8,13.06,-10.46,-3.6,5.36,-2.94,-99.99,-99.99,-99.99,-3.13,-3.34,-8.55,-4.99
193104,-2.16,-10.41,-7.39,-18.52,-13.32,-9.03,2.69,-12.13,-33.93,-12.79,-16.19,-21.97,-9.81,-10.09,-13.8,-12.37,-3.21,-13.59,-17.27,-10.22,-14.38,-14.65,-9.15,-6.32,-18.62,-7.25,-4.24,-8.5,-9.04,-99.99,-99.99,-99.99,-4.38,-4.82,-15.16,-22.93
193105,-6.76,-10.76,-17.6,-12.87,-18.31,-12.58,-11.13,-7.56,-9.38,1.92,-14.95,-4.77,-10.67,-11.43,-12.04,-10.34,0.68,-16.63,-20.72,-16.18,-18.71,-11.46,-16.24,-16.48,-11.35,-17.19,-8.94,-8,-11.15,-99.99,-99.99,-99.99,-15.2,-3.03,-19.06,-31.06
193106,8.17,11.03,7.81,8.57,13.56,10.74,12.63,8.41,7.06,8.02,29.86,16.5,1.7,16.1,17.57,23.67,12.19,19.53,19.38,14.3,15.22,18.35,15.7,14.73,16.79,16.21,10.21,7.25,11,-99.99,-99.99,-99.99,2.79,7.92,23.48,19.88
193107,0.17,-9.9,-1.58,-11.11,-13.83,-4.36,-3.49,-5.64,-5.24,-4.76,-1.69,-4.51,-3.03,-4.27,-3.02,-6.02,-3.11,-9.99,-15.15,-11.77,-12.5,-10.3,-3.42,-8.17,0.92,-10.53,-4.88,2.57,-5.39,-99.99,-99.99,-99.99,-8.11,-1.41,-8.81,-7.37
193108,-3.69,0.44,3.32,5.63,-0.53,1.96,-3.51,0.31,3.49,1.66,0.14,3.62,-6.23,0.69,10.16,-0.11,-2.98,-1.28,0.56,-2.22,-0.64,3.74,-2.88,4.47,-0.58,-6.7,0.82,-1.01,-1.74,-99.99,-99.99,-99.99,1.37,3.06,0.39,6.36
193109,-35.44,-30.49,-19.82,-35.19,-33.94,-27.85,-21.7,-21.6,-27.39,-34.35,-28.34,-29.73,-22.13,-31.28,-30.05,-34.92,-6.41,-27.02,-27.14,-27.64,-33.74,-34.63,-34.19,-29.17,-28.03,-20.6,-21.56,-17.97,-33.05,-99.99,-99.99,-99.99,-26.12,-30.32,-40.02,-39.14
193110,-6.8,12.28,-13.68,26.51,1.99,11.88,6.08,2.77,26.2,26.68,17.61,6.93,-17.95,7.64,15.15,2.35,-4.8,1.94,2.07,10.96,9.47,11.84,12.97,10.45,8.64,-3.11,4.33,11.82,10.48,-99.99,-99.99,-99.99,7.37,14.11,12.02,16.02
193111,-9.25,-18.44,18.13,-4.79,-16.87,-2.81,-6.1,-10.14,-15.67,-1.23,-21.12,-7.32,-10.25,-5.2,-8.84,-9.04,0.23,-11.02,-10.1,-8.99,-6.68,-15.71,-5.04,-10.94,-6.31,-21.36,-6.85,-10.94,-4.77,-99.99,-99.99,-99.99,-17.78,-9.28,-11.19,-26.29
193112,-16.04,-15.78,-6.91,-12.27,-16.91,-9.99,-6.26,-6.59,-18.87,-18.39,-25.85,-13.38,-21.02,-6.44,-19.06,-4.37,-13.8,-18.01,-25.59,-14.13,-15.28,-14.18,-9.86,-11.63,-22.27,-14.76,-7.92,-18.64,-13.24,-99.99,-99.99,-99.99,-22.33,-15.12,-20.98,-27.91
193201,-12.46,2.35,-5.67,2.02,2.55,-1.06,8.17,1.05,48.79,7.36,0.57,-4.71,-5.31,-4.19,-5.16,-15.07,0.98,-3,3.36,-0.57,-0.24,-13.85,-4.39,-2.44,3.66,7.88,-4.05,9.17,-2.52,-99.99,-99.99,-99.99,-0.28,0.8,3.75,13.68
193202,25.93,-5.21,6.32,7.52,5.22,6.85,3.28,3.12,-13.87,2.73,10.23,3.06,-1.24,6.96,9.22,5.38,2.81,7.91,5.03,13.4,0.08,8.72,1.78,-3.24,6.68,-3.99,11.66,-5.88,7.04,-99.99,-99.99,-99.99,3.82,4.12,13.62,5.12
193203,-12.34,-6.77,-3.35,-12.45,-9.78,-6.87,-4.51,-3.99,-7.55,3.36,-12.73,-4.76,-11.73,-12.13,-0.58,-15.66,-1.84,-16.81,-16.69,-10.97,-11.24,-17.16,-22.26,-5.25,-13.49,-17.6,-9.91,3.12,-9.57,-99.99,-99.99,-99.99,-43.85,-8.86,-15.23,-18.17
193204,-15.7,-15.41,13.33,-13.73,-19.08,-12.85,-9.89,-11.65,-12.2,-15.51,-29.71,-13.73,-14.15,-26.69,-14.53,-9.68,-4.31,-13.75,-19.58,-25.68,-20.13,-22.99,-27.19,-30.67,-15.38,-24.91,-12.38,-19.39,-15.5,-99.99,-99.99,-99.99,-4.67,-15.72,-19.35,-19.64
193205,-36.45,-8.69,-15.46,-25.73,-19.91,-22.38,-21.45,-23.01,-31.95,-1.09,-36.76,-21.72,-26.24,-16.08,-5.06,-20.58,-1.3,-17.25,-22.96,-16.29,-18.45,-33.76,-19.67,-19.41,-21.68,-33.71,-10.8,-14.94,-26.82,-99.99,-99.99,-99.99,-36.62,-29.26,-30.32,-30.69
193206,8.76,-11.15,11.48,-2.62,-5.9,-0.37,5.85,-4.85,42.92,11.04,11.21,0.18,-22.24,-6.2,6.11,1.98,-7.98,-0.69,2.09,0.42,-3.71,10,-4.7,4.85,-1.62,-3.01,-9.55,-9.92,1.45,-99.99,-99.99,-99.99,6.56,-0.68,6.25,-2.23
193207,91.34,47.82,34.46,47.93,27.73,28.12,24.67,30.46,-14.31,14.08,80.53,5.86,45.6,30.36,34.75,37.02,-21.65,32.31,62.13,31,36.72,55.12,45.2,14.87,32.14,61.16,16.69,23.73,29.35,-99.99,-99.99,-99.99,16.27,27.26,52.07,52.02
193208,22.49,51.33,21.02,32.72,60.96,24.46,17.6,58.51,90.66,20.54,74.94,48.45,40.45,33.74,17.23,96.85,20.57,40.69,59.1,37.26,47.4,50.49,44.64,27.84,32.55,65.38,28.19,7.04,43.46,-99.99,-99.99,-99.99,57.64,32.74,59.48,49.44
193209,-18.56,-7.35,-3.9,0.66,-8.19,-0.37,0.11,-11.03,-19.08,0.92,9.52,-16.8,0.99,2.42,-10.41,-25.34,4.58,4.2,-10.02,1.23,-4.95,-6.19,9.38,-2.01,-3.01,-2.5,0.24,7.89,-4.65,-99.99,-99.99,-99.99,24.79,2.94,-6.87,-9.14
193210,-19.37,-12.79,-6.08,-4.97,-23.74,-9.02,-13.98,-12.99,-18.34,-5.36,-35.33,-4.56,-22.53,-15.21,-3,-20.84,-7.47,-11.95,-15.78,-9.96,-20.41,-21.33,-24.05,-8.86,-11.7,-19.63,-8.13,-4.88,-10.82,-99.99,-99.99,-99.99,-20.22,-12.58,-17.18,-21.54
193211,13.61,-3.12,0.29,-2.96,-7.96,-7.4,-8.34,-9.63,-16.53,-3.21,-16.45,-5.8,-3.9,-1.51,-4.06,-6.55,-2.81,-7.47,-22.55,-3.52,-6.58,-9.2,-3.52,-3.17,-7.2,-9.54,-1.12,0,-3.6,-99.99,-99.99,-99.99,-10.38,-5.58,-3.39,-8.15
193212,13.7,-6.59,2.9,10.12,-8.87,6.85,0.91,-6.86,10.08,10.15,11.57,-13.05,-11.62,10.59,0.24,9.38,-2.78,3.34,-8.31,7.2,3.11,7.14,5.19,7.26,-10.35,5.86,3.68,-5.92,9.12,-99.99,-99.99,-99.99,-10.07,5.2,8.87,-9.1
193301,18.92,1.88,1.58,1.38,4.03,-0.52,11.41,-2.3,10.43,-2.4,-11.09,9.91,0.68,1.33,-3.41,0.31,10.59,1.32,2.64,4.93,5.3,0.62,3.05,5.48,-5.55,14.37,0.31,-0.7,-4.38,-99.99,-99.99,-99.99,-6.31,-2.36,1.51,-14.71
193302,-10.22,-5.82,-6.81,-27.57,-26.55,-9.65,-8.55,-7.16,-7.26,-3.86,-30.65,-12.28,-20.79,-16.45,-13.69,-26.34,-4.19,-14.37,-17.03,-14.61,-20.87,-22.5,-23.03,-13.66,-2.48,-16.37,-7.78,-1.45,-19.85,-99.99,-99.99,-99.99,-7.8,-18.02,-20.14,-16.47
193303,27.55,9.3,5.43,7.53,-0.39,11.36,7.93,2.6,-3.13,8.02,7.34,0.6,15.8,5.15,4.23,11.84,10.16,18.62,14.72,8.61,17.42,7.1,10.5,4.05,10,7.03,-5.86,1.47,-12.79,-99.99,-99.99,-99.99,0.07,8.63,-6.84,-8.04
193304,42.64,24.21,41.12,43.32,37.21,32.57,33.04,52.97,47,20.57,91.86,30.56,52,47.67,39.06,99.36,40.86,50.56,80.84,40.23,50.21,59.51,71.65,25.27,42.83,27.8,13.22,15.94,25.36,-99.99,-99.99,-99.99,46.18,42.49,42.8,38.97
193305,13.31,36.63,40.84,18.76,60.62,12.12,9.18,39.45,53.57,20.16,51.46,70.34,24.57,25.89,17,29.92,23.26,40.05,23.29,22.75,28.1,19.75,25.11,21.49,59.22,32.5,17.36,25.64,19.29,-99.99,-99.99,-99.99,57.49,16.63,26.21,35.94
