,Agric,Mines,Oil  ,Stone,Cnstr,Food ,Smoke,Txtls,Apprl,Wood ,Chair,Paper,Print,Chems,Ptrlm,Rubbr,Lethr,Glass,Metal,MtlPr,Machn,Elctr,Cars ,Instr,Manuf,Trans,Phone,TV   ,Utils,Garbg,Steam,Water,Whlsl,Rtail,Money,Srvc 
201002,-6.6,13.38,3.31,4.73,1.03,2.51,4.43,15.68,5.99,3.53,10.2,1.6,-1.71,1.31,1.23,5.55,6.62,2.23,4.2,6.46,7.38,5.88,5.16,4.2,9.3,7.25,-0.83,6.27,-0.43,3.03,-99.99,-99.99,5.89,4.28,2.72,3.07
201003,2.04,7.11,1.33,7.45,6.38,5.46,6.12,8.42,13.29,7.3,7.81,6.68,5.5,3.5,4.68,7.1,10.55,12.08,12.04,6.01,8.25,7.83,10.1,5.23,5.16,8.11,6.3,9.19,3.1,3.49,-99.99,-99.99,5.99,6.28,8.14,5.77
201004,-10.17,-1.84,2.76,8.27,9.82,-0.87,-2.51,11.43,3.99,19.91,6.34,3.97,2.43,-1.61,4.59,5.47,6.17,14.79,-2.63,4.96,5.53,1.87,3.61,2.65,7.6,3.82,0.42,6.59,2.86,4.46,-99.99,-99.99,3.2,2.46,0.95,1.59
201005,-18.19,-8.27,-11.7,-6.17,-11.22,-3.67,-7.69,-9.87,-7.89,-14.74,-10.4,-6.58,-10.1,-7.71,-9.73,-5.01,-2.79,-10.77,-7.01,-9.76,-8.18,-7.55,-9.43,-8.35,-4.28,-5.98,-4.55,-6.94,-6.31,-4.77,-99.99,-99.99,-4.01,-5.52,-9.14,-7.73
201006,-8.54,-6.08,-7.01,-11.7,-13.31,-1.38,3.32,-14.55,-11.73,-16.68,-7.78,-2.42,-8.82,-2.05,-5.84,-7.37,-9.35,-11.66,-13.18,-7.95,-5.24,-7.42,-7.7,-4.68,-7.24,-7.66,-1.37,-6.62,-0.72,0.61,-99.99,-99.99,-5.2,-9.64,-7.32,-6.87
201007,18.72,10.14,7.02,5.57,6.99,5.72,10.74,6.81,9.45,5.53,6.23,6.83,5.41,4.98,7.86,8.79,4.19,4.6,8.28,9.21,8.45,8.64,11.95,0.82,3.42,10.84,9.91,9.58,6.79,5.47,-99.99,-99.99,3.2,4.85,6.63,8
201008,-9.23,1.17,-5.02,-11.96,-7.29,0.42,0.03,-5.5,-8.74,-9.91,-8.24,-4.72,-10.03,-0.72,-2.07,-4.83,-9.01,-8.98,-8.74,-3.96,-9.02,-8.05,-8.88,-7.31,-4.03,-4.65,1.46,-5.39,0.41,-3.22,-99.99,-99.99,-7.55,-3.3,-8.38,-4.79
201009,-5.73,12.46,12.42,4.77,9.92,3.72,9.74,13.39,20.25,10.07,15.78,5.55,12.92,7.49,7.51,13.11,17.1,5.47,12.1,10.83,14.4,13.47,11.2,12.53,11.06,9.87,8.27,7.48,3.64,6.97,-99.99,-99.99,9.9,12.46,7.49,11.76
201010,19.43,8.44,2.82,6.59,-1.99,3.07,5.34,3.28,1.45,-0.78,9.69,4.7,7.05,3.73,5.34,1.66,10.85,2.3,4.64,6.32,4.86,3.94,7.11,2.32,4.06,5.35,1,8.33,1.86,0.23,-99.99,-99.99,4.95,2.09,1.97,7.49
201011,0.86,5.86,8.38,3.88,3.56,-0.14,-3.89,-1.01,9.2,7.19,3,-1.06,-3.2,-3.17,3.08,5.2,14.54,2.17,2.98,2.6,1.15,3.67,2.24,0.83,4.93,2.42,-1.57,-2.11,-1.31,-2.52,-99.99,-99.99,0.29,4.8,-0.35,-1.3
